GeneID,Essential
G234064,Essential
G234065,Non-Essential
G234070,Non-Essential
G234073,Non-Essential
G234074,Essential
G234076,Non-Essential
G234084,Non-Essential
G234085,Non-Essential
G234089,Non-Essential
G234093,Non-Essential
G234096,Non-Essential
G234100,Essential
G234101,Non-Essential
G234102,Non-Essential
G234103,Essential
G234107,Non-Essential
G234108,Non-Essential
G234109,Non-Essential
G234122,Essential
G234123,Non-Essential
G234124,Non-Essential
G234126,Non-Essential
G234128,Non-Essential
G234131,Non-Essential
G234139,Non-Essential
G234141,Essential
G234167,Non-Essential
G234169,Non-Essential
G234170,Non-Essential
G234177,Non-Essential
G234185,Non-Essential
G234191,Non-Essential
G234194,Essential
G234197,Essential
G234201,Essential
G234202,Non-Essential
G234205,Non-Essential
G234206,Essential
G234212,Non-Essential
G234214,Essential
G234217,Essential
G234222,Non-Essential
G234227,Non-Essential
G234232,Non-Essential
G234234,Essential
G234235,Non-Essential
G234240,Non-Essential
G234248,Non-Essential
G234259,Non-Essential
G234263,Non-Essential
G234265,Non-Essential
G234270,Non-Essential
G234271,Essential
G234275,Non-Essential
G234276,Non-Essential
G234277,Non-Essential
G234285,Non-Essential
G234286,Non-Essential
G234290,Non-Essential
G234293,Non-Essential
G234296,Non-Essential
G234300,Essential
G234312,Non-Essential
G234317,Non-Essential
G234323,Non-Essential
G234326,Non-Essential
G234330,Essential
G234334,Non-Essential
G234341,Essential
G234344,Non-Essential
G234347,Non-Essential
G234359,Non-Essential
G234360,Non-Essential
G234361,Non-Essential
G234368,Essential
G234369,Essential
G234371,Non-Essential
G234381,Essential
G234382,Essential
G234392,Essential
G234393,Essential
G234400,Non-Essential
G234402,Non-Essential
G234413,Non-Essential
G234415,Essential
G234416,Non-Essential
G234418,Non-Essential
G234427,Non-Essential
G234429,Non-Essential
G234430,Non-Essential
G234444,Non-Essential
G234445,Non-Essential
G234446,Non-Essential
G234448,Non-Essential
G234452,Non-Essential
G234455,Non-Essential
G234458,Non-Essential
G234465,Non-Essential
G234468,Non-Essential
G234486,Non-Essential
G234495,Essential
G234497,Non-Essential
G234505,Non-Essential
G234509,Non-Essential
G234513,Non-Essential
G234516,Non-Essential
G234517,Non-Essential
G234522,Non-Essential
G234523,Essential
G234525,Essential
G234529,Non-Essential
G234533,Essential
G234535,Non-Essential
G234542,Non-Essential
G234549,Essential
G234553,Essential
G234554,Essential
G234562,Essential
G234563,Non-Essential
G234564,Non-Essential
G234572,Essential
G234575,Non-Essential
G234581,Non-Essential
G234586,Non-Essential
G234589,Non-Essential
G234591,Non-Essential
G234594,Non-Essential
G234603,Non-Essential
G234604,Essential
G234606,Non-Essential
G234610,Essential
G234613,Non-Essential
G234630,Non-Essential
G234635,Non-Essential
G234636,Essential
G234638,Essential
G234640,Non-Essential
G234642,Non-Essential
G234644,Non-Essential
G234652,Non-Essential
G234654,Essential
G234656,Non-Essential
G234659,Non-Essential
G234665,Non-Essential
G234666,Non-Essential
G234677,Non-Essential
G234681,Non-Essential
G234684,Non-Essential
G234692,Non-Essential
G234700,Non-Essential
G234702,Non-Essential
G234715,Essential
G234716,Essential
G234722,Non-Essential
G234725,Non-Essential
G234732,Essential
G234733,Non-Essential
G234735,Essential
G234737,Non-Essential
G234746,Essential
G234749,Essential
G234754,Essential
G234756,Non-Essential
G234762,Non-Essential
G234763,Non-Essential
G234764,Non-Essential
G234767,Non-Essential
G234768,Non-Essential
G234769,Non-Essential
G234772,Non-Essential
G234779,Essential
G234786,Essential
G234787,Non-Essential
G234788,Non-Essential
G234804,Non-Essential
G234811,Non-Essential
G234812,Non-Essential
G234823,Non-Essential
G234824,Non-Essential
G234829,Non-Essential
G234830,Essential
G234831,Non-Essential
G234839,Non-Essential
G234854,Non-Essential
G234858,Non-Essential
G234860,Non-Essential
G234863,Essential
G234865,Non-Essential
G234867,Essential
G234868,Non-Essential
G234876,Non-Essential
G234878,Non-Essential
G234880,Non-Essential
G234882,Essential
G234894,Essential
G234906,Essential
G234907,Non-Essential
G234908,Non-Essential
G234909,Non-Essential
G234910,Non-Essential
G234914,Non-Essential
G234915,Non-Essential
G234918,Non-Essential
G234926,Essential
G234932,Non-Essential
G234933,Essential
G234934,Non-Essential
G234935,Non-Essential
G234943,Non-Essential
G234946,Non-Essential
G234949,Non-Essential
G234953,Essential
G234954,Non-Essential
G234955,Essential
G234959,Non-Essential
G234960,Non-Essential
G234964,Non-Essential
G234967,Non-Essential
G234973,Essential
G234975,Essential
G234980,Non-Essential
G234983,Essential
G234993,Non-Essential
G234994,Non-Essential
G235004,Non-Essential
G235005,Non-Essential
G235006,Non-Essential
G235011,Non-Essential
G235012,Essential
G235014,Non-Essential
G235025,Essential
G235027,Non-Essential
G235034,Essential
G235035,Essential
G235042,Non-Essential
G235043,Non-Essential
G235044,Non-Essential
G235052,Non-Essential
G235054,Non-Essential
G235059,Essential
G235065,Non-Essential
G235075,Non-Essential
G235077,Non-Essential
G235080,Essential
G235086,Essential
G235095,Non-Essential
G235099,Non-Essential
G235101,Essential
G235105,Essential
G235107,Non-Essential
G235123,Essential
G235127,Non-Essential
G235128,Essential
G235129,Essential
G235130,Essential
G235131,Non-Essential
G235133,Essential
G235134,Essential
G235135,Essential
G235136,Essential
G235137,Non-Essential
G235138,Non-Essential
G235142,Essential
G235143,Essential
G235145,Essential
G235157,Essential
G235158,Non-Essential
G235159,Essential
G235161,Non-Essential
G235163,Essential
G235165,Essential
G235170,Non-Essential
G235171,Non-Essential
G235172,Non-Essential
G235173,Non-Essential
G235177,Non-Essential
G235181,Essential
G235182,Non-Essential
G235184,Non-Essential
G235185,Essential
G235187,Essential
G235188,Non-Essential
G235189,Essential
G235191,Essential
G235200,Non-Essential
G235201,Non-Essential
G235204,Non-Essential
G235205,Non-Essential
G235207,Non-Essential
G235213,Non-Essential
G235216,Non-Essential
G235222,Essential
G235225,Non-Essential
G235228,Non-Essential
G235229,Essential
G235231,Non-Essential
G235234,Non-Essential
G235235,Essential
G235239,Non-Essential
G235240,Essential
G235241,Essential
G235242,Non-Essential
G235243,Non-Essential
G235244,Essential
G235245,Non-Essential
G235246,Essential
G235247,Essential
G235248,Essential
G235250,Non-Essential
G235252,Non-Essential
G235257,Essential
G235259,Essential
G235264,Non-Essential
G235265,Essential
G235266,Essential
G235271,Essential
G235272,Essential
G235273,Non-Essential
G235274,Non-Essential
G235277,Non-Essential
G235278,Non-Essential
G235279,Essential
G235281,Essential
G235285,Essential
G235287,Non-Essential
G235293,Essential
G235294,Essential
G235297,Essential
G235300,Essential
G235301,Non-Essential
G235302,Essential
G235303,Non-Essential
G235307,Non-Essential
G235310,Essential
G235312,Non-Essential
G235313,Essential
G235317,Non-Essential
G235324,Essential
G235327,Non-Essential
G235329,Essential
G235331,Non-Essential
G235332,Essential
G235334,Non-Essential
G235335,Non-Essential
G235336,Essential
G235340,Essential
G235344,Essential
G235345,Essential
